Bin,Count
-0.5,6188
-0.49,6797
-0.48,6711
-0.47,6612
-0.46,6868
-0.45,6658
-0.44,6783
-0.43,6665
-0.42,6756
-0.41,6714
-0.4,6726
-0.39,6622
-0.38,6743
-0.37,6696
-0.36,6589
-0.35,6714
-0.34,6598
-0.33,6681
-0.32,6754
-0.31,6572
-0.3,6611
-0.29,6511
-0.28,6694
-0.27,6583
-0.26,6756
-0.25,6521
-0.24,6600
-0.23,6601
-0.22,6549
-0.21,6652
-0.2,6624
-0.19,6485
-0.18,6609
-0.17,6567
-0.16,6628
-0.15,6629
-0.14,6747
-0.13,6573
-0.12,6677
-0.11,6535
-0.1,6540
-0.09,6679
-0.08,6664
-0.07,6613
-0.06,6621
-0.05,6380
-0.04,6593
-0.03,6529
-0.02,6642
-0.01,6809
0,6128
0.01,6614
0.02,6659
0.03,6682
0.04,6732
0.05,6740
0.06,6747
0.07,7019
0.08,8790
0.09,14518
0.1,31473
0.11,52102
0.12,54841
0.13,43915
0.14,33278
0.15,26512
0.16,22752
0.17,21105
0.18,20909
0.19,21812
0.2,22511
0.21,23031
0.22,22061
0.23,21230
0.24,20791
0.25,19821
0.26,19059
0.27,17835
0.28,16786
0.29,15598
0.3,15190
0.31,14508
0.32,14183
0.33,13663
0.34,12887
0.35,12366
0.36,11286
0.37,11019
0.38,10643
0.39,10402
0.4,10372
0.41,10527
0.42,10561
0.43,10592
0.44,10254
0.45,9977
0.46,9749
0.47,9694
0.48,9601
0.49,9628
0.5,9405
0.51,9415
0.52,9457
0.53,9244
0.54,9168
0.55,9071
0.56,8898
0.57,8956
0.58,8682
0.59,8550
0.6,8560
0.61,8311
0.62,8345
0.63,8286
0.64,8322
0.65,7997
0.66,7962
0.67,7758
0.68,8124
0.69,7950
0.7,8038
0.71,7743
0.72,7645
0.73,7896
0.74,7769
0.75,7617
0.76,7944
0.77,7628
0.78,7615
0.79,7679
0.8,7667
0.81,7538
0.82,7665
0.83,7381
0.84,7440
0.85,7514
0.86,7514
0.87,7556
0.88,7327
0.89,7316
0.9,7291
0.91,7409
0.92,7345
0.93,7264
0.94,7214
0.95,7464
0.96,7316
0.97,7412
0.98,7360
0.99,7142
1,7173
1.01,7302
1.02,7100
1.03,7245
1.04,7166
1.05,6944
1.06,7038
1.07,7084
1.08,7008
1.09,7022
1.1,7093
1.11,6954
1.12,7176
1.13,6914
1.14,6922
1.15,6995
1.16,7026
1.17,6887
1.18,6891
1.19,6810
1.2,7008
1.21,6936
1.22,7094
1.23,6817
1.24,7007
1.25,6788
1.26,7008
1.27,6728
1.28,6905
1.29,6823
1.3,6763
1.31,7179
1.32,6724
1.33,6757
1.34,6732
1.35,6917
1.36,6659
1.37,6940
1.38,6875
1.39,6800
1.4,6696
1.41,6855
1.42,6766
1.43,6659
1.44,6819
1.45,6790
1.46,6754
1.47,6783
1.48,6927
1.49,6874
1.5,6451
