Bin,Count
-0.4,3921
-0.39,3847
-0.38,3971
-0.37,3950
-0.36,3772
-0.35,3828
-0.34,3874
-0.33,3989
-0.32,3838
-0.31,3921
-0.3,3805
-0.29,3784
-0.28,3837
-0.27,3732
-0.26,3758
-0.25,3852
-0.24,3804
-0.23,3822
-0.22,3774
-0.21,3872
-0.2,3709
-0.19,3736
-0.18,3706
-0.17,3762
-0.16,3808
-0.15,3790
-0.14,3917
-0.13,3713
-0.12,3703
-0.11,3776
-0.1,3801
-0.09,3776
-0.08,3858
-0.07,3802
-0.06,3869
-0.05,3818
-0.04,3996
-0.03,3756
-0.02,3887
-0.01,3774
0,3312
0.01,12991
0.02,45526
0.03,20281
0.04,11932
0.05,9871
0.06,39789
0.07,21910
0.08,31160
0.09,26359
0.1,17323
0.11,29985
0.12,25202
0.13,17946
0.14,11158
0.15,6903
0.16,5793
0.17,6084
0.18,6100
0.19,6045
0.2,5814
0.21,5652
0.22,7907
0.23,33483
0.24,21208
0.25,13738
0.26,12793
0.27,25494
0.28,16303
0.29,15398
0.3,13586
0.31,10022
0.32,11205
0.33,7378
0.34,6014
0.35,5359
0.36,4103
0.37,3963
0.38,4221
0.39,3999
0.4,3944
0.41,4163
0.42,3899
0.43,4013
0.44,4173
0.45,3870
0.46,3926
0.47,3919
0.48,3834
0.49,3865
0.5,3993
0.51,3781
0.52,3867
0.53,3902
0.54,3758
0.55,3879
0.56,3879
0.57,3775
0.58,3846
0.59,3895
0.6,3961
0.61,3838
0.62,3964
0.63,3935
0.64,3832
0.65,3827
0.66,3898
0.67,3989
0.68,3832
0.69,3885
0.7,3837
0.71,3795
0.72,3796
0.73,3723
0.74,3739
0.75,3906
0.76,3839
0.77,3782
0.78,3778
0.79,3797
0.8,3853
