Bin,Count
-0.4,740
-0.399,756
-0.398,778
-0.397,756
-0.396,746
-0.395,778
-0.394,749
-0.393,710
-0.392,725
-0.391,777
-0.39,711
-0.389,705
-0.388,719
-0.387,745
-0.386,798
-0.385,736
-0.384,760
-0.383,758
-0.382,769
-0.381,776
-0.38,789
-0.379,724
-0.378,768
-0.377,751
-0.376,753
-0.375,732
-0.374,796
-0.373,749
-0.372,669
-0.371,833
-0.37,789
-0.369,759
-0.368,706
-0.367,813
-0.366,798
-0.365,819
-0.364,770
-0.363,768
-0.362,718
-0.361,749
-0.36,788
-0.359,728
-0.358,773
-0.357,750
-0.356,716
-0.355,731
-0.354,761
-0.353,740
-0.352,727
-0.351,726
-0.35,769
-0.349,784
-0.348,731
-0.347,778
-0.346,787
-0.345,720
-0.344,783
-0.343,728
-0.342,826
-0.341,761
-0.34,753
-0.339,753
-0.338,784
-0.337,767
-0.336,759
-0.335,752
-0.334,798
-0.333,809
-0.332,757
-0.331,755
-0.33,707
-0.329,707
-0.328,730
-0.327,751
-0.326,739
-0.325,706
-0.324,730
-0.323,790
-0.322,831
-0.321,765
-0.32,728
-0.319,802
-0.318,786
-0.317,736
-0.316,764
-0.315,793
-0.314,752
-0.313,771
-0.312,745
-0.311,779
-0.31,736
-0.309,743
-0.308,730
-0.307,734
-0.306,799
-0.305,766
-0.304,702
-0.303,743
-0.302,735
-0.301,702
-0.3,760
-0.299,765
-0.298,781
-0.297,788
-0.296,716
-0.295,717
-0.294,745
-0.293,792
-0.292,737
-0.291,784
-0.29,749
-0.289,753
-0.288,719
-0.287,745
-0.286,787
-0.285,775
-0.284,794
-0.283,750
-0.282,815
-0.281,824
-0.28,740
-0.279,753
-0.278,742
-0.277,726
-0.276,726
-0.275,782
-0.274,710
-0.273,692
-0.272,750
-0.271,736
-0.27,763
-0.269,749
-0.268,809
-0.267,696
-0.266,811
-0.265,794
-0.264,736
-0.263,744
-0.262,768
-0.261,707
-0.26,732
-0.259,794
-0.258,744
-0.257,776
-0.256,747
-0.255,743
-0.254,752
-0.253,784
-0.252,756
-0.251,716
-0.25,782
-0.249,707
-0.248,757
-0.247,746
-0.246,717
-0.245,701
-0.244,732
-0.243,758
-0.242,742
-0.241,756
-0.24,764
-0.239,750
-0.238,758
-0.237,771
-0.236,748
-0.235,728
-0.234,793
-0.233,740
-0.232,804
-0.231,735
-0.23,748
-0.229,733
-0.228,731
-0.227,762
-0.226,724
-0.225,754
-0.224,774
-0.223,761
-0.222,725
-0.221,741
-0.22,732
-0.219,730
-0.218,746
-0.217,769
-0.216,753
-0.215,670
-0.214,728
-0.213,780
-0.212,759
-0.211,783
-0.21,731
-0.209,720
-0.208,734
-0.207,703
-0.206,800
-0.205,701
-0.204,765
-0.203,747
-0.202,733
-0.201,731
-0.2,802
-0.199,726
-0.198,785
-0.197,768
-0.196,688
-0.195,758
-0.194,678
-0.193,792
-0.192,772
-0.191,707
-0.19,760
-0.189,776
-0.188,739
-0.187,728
-0.186,773
-0.185,725
-0.184,757
-0.183,754
-0.182,778
-0.181,732
-0.18,791
-0.179,706
-0.178,755
-0.177,704
-0.176,714
-0.175,760
-0.174,704
-0.173,731
-0.172,722
-0.171,728
-0.17,748
-0.169,728
-0.168,766
-0.167,775
-0.166,768
-0.165,789
-0.164,718
-0.163,772
-0.162,698
-0.161,725
-0.16,722
-0.159,773
-0.158,736
-0.157,749
-0.156,756
-0.155,757
-0.154,754
-0.153,758
-0.152,703
-0.151,710
-0.15,704
-0.149,677
-0.148,775
-0.147,762
-0.146,764
-0.145,759
-0.144,717
-0.143,741
-0.142,757
-0.141,773
-0.14,782
-0.139,723
-0.138,730
-0.137,723
-0.136,708
-0.135,706
-0.134,780
-0.133,781
-0.132,747
-0.131,801
-0.13,777
-0.129,762
-0.128,760
-0.127,789
-0.126,759
-0.125,729
-0.124,762
-0.123,723
-0.122,796
-0.121,782
-0.12,738
-0.119,761
-0.118,714
-0.117,750
-0.116,780
-0.115,700
-0.114,715
-0.113,726
-0.112,784
-0.111,739
-0.11,725
-0.109,718
-0.108,751
-0.107,745
-0.106,763
-0.105,780
-0.104,711
-0.103,763
-0.102,812
-0.101,773
-0.1,744
-0.099,739
-0.098,740
-0.097,728
-0.096,756
-0.095,737
-0.094,721
-0.093,776
-0.092,791
-0.091,744
-0.09,768
-0.089,738
-0.088,795
-0.087,775
-0.086,777
-0.085,773
-0.084,755
-0.083,741
-0.082,703
-0.081,734
-0.08,730
-0.079,716
-0.078,732
-0.077,738
-0.076,720
-0.075,731
-0.074,775
-0.073,780
-0.072,722
-0.071,720
-0.07,801
-0.069,743
-0.068,749
-0.067,766
-0.066,714
-0.065,790
-0.064,750
-0.063,740
-0.062,750
-0.061,723
-0.06,750
-0.059,753
-0.058,747
-0.057,730
-0.056,721
-0.055,766
-0.054,732
-0.053,703
-0.052,769
-0.051,749
-0.05,769
-0.049,752
-0.048,774
-0.047,729
-0.046,729
-0.045,744
-0.044,783
-0.043,732
-0.042,777
-0.041,761
-0.04,741
-0.039,762
-0.038,768
-0.037,699
-0.036,754
-0.035,736
-0.034,737
-0.033,780
-0.032,791
-0.031,758
-0.03,736
-0.029,738
-0.028,747
-0.027,738
-0.026,764
-0.025,789
-0.024,724
-0.023,726
-0.022,735
-0.021,708
-0.02,683
-0.019,745
-0.018,789
-0.017,739
-0.016,693
-0.015,748
-0.014,747
-0.013,765
-0.012,715
-0.011,788
-0.01,750
-0.009,719
-0.008,791
-0.007,746
-0.006,720
-0.005,725
-0.004,733
-0.003,700
-0.002,461
-0.001,450
0,400
0.001,350
0.002,345
0.003,792
0.004,1031
0.005,1409
0.006,3174
0.007,3372
0.008,5790
0.009,6112
0.01,6117
0.011,6130
0.012,7224
0.013,6990
0.014,6724
0.015,6762
0.016,6610
0.017,6416
0.018,7065
0.019,5715
0.02,6152
0.021,4854
0.022,4912
0.023,4015
0.024,3341
0.025,2945
0.026,2571
0.027,2304
0.028,2125
0.029,1821
0.03,1638
0.031,1567
0.032,1409
0.033,1291
0.034,1241
0.035,1101
0.036,1117
0.037,1040
0.038,1000
0.039,953
0.04,927
0.041,912
0.042,836
0.043,912
0.044,846
0.045,792
0.046,833
0.047,829
0.048,782
0.049,767
0.05,803
0.051,812
0.052,804
0.053,774
0.054,787
0.055,781
0.056,762
0.057,800
0.058,798
0.059,710
0.06,762
0.061,726
0.062,736
0.063,785
0.064,787
0.065,746
0.066,754
0.067,796
0.068,816
0.069,737
0.07,820
0.071,755
0.072,765
0.073,746
0.074,743
0.075,770
0.076,777
0.077,772
0.078,757
0.079,755
0.08,774
0.081,739
0.082,795
0.083,815
0.084,746
0.085,708
0.086,729
0.087,776
0.088,754
0.089,775
0.09,731
0.091,784
0.092,720
0.093,786
0.094,737
0.095,733
0.096,814
0.097,696
0.098,791
0.099,775
0.1,801
0.101,760
0.102,720
0.103,769
0.104,753
0.105,777
0.106,810
0.107,727
0.108,774
0.109,730
0.11,807
0.111,796
0.112,783
0.113,786
0.114,773
0.115,763
0.116,731
0.117,787
0.118,797
0.119,741
0.12,757
0.121,722
0.122,799
0.123,758
0.124,714
0.125,797
0.126,733
0.127,776
0.128,786
0.129,733
0.13,760
0.131,732
0.132,778
0.133,776
0.134,804
0.135,814
0.136,771
0.137,761
0.138,808
0.139,723
0.14,719
0.141,732
0.142,746
0.143,781
0.144,804
0.145,735
0.146,771
0.147,763
0.148,748
0.149,740
0.15,756
0.151,745
0.152,779
0.153,747
0.154,727
0.155,771
0.156,729
0.157,763
0.158,765
0.159,727
0.16,743
0.161,729
0.162,780
0.163,777
0.164,734
0.165,778
0.166,769
0.167,752
0.168,716
0.169,760
0.17,765
0.171,812
0.172,751
0.173,691
0.174,795
0.175,761
0.176,733
0.177,798
0.178,778
0.179,737
0.18,725
0.181,744
0.182,729
0.183,743
0.184,750
0.185,756
0.186,762
0.187,736
0.188,712
0.189,728
0.19,735
0.191,800
0.192,783
0.193,754
0.194,753
0.195,764
0.196,754
0.197,761
0.198,784
0.199,754
0.2,785
0.201,708
0.202,782
0.203,744
0.204,748
0.205,805
0.206,746
0.207,738
0.208,724
0.209,814
0.21,711
0.211,837
0.212,752
0.213,735
0.214,736
0.215,749
0.216,754
0.217,725
0.218,772
0.219,766
0.22,740
0.221,765
0.222,701
0.223,757
0.224,778
0.225,773
0.226,771
0.227,723
0.228,806
0.229,736
0.23,697
0.231,802
0.232,740
0.233,801
0.234,765
0.235,764
0.236,751
0.237,755
0.238,797
0.239,770
0.24,774
0.241,720
0.242,764
0.243,753
0.244,789
0.245,732
0.246,772
0.247,818
0.248,763
0.249,818
0.25,792
0.251,755
0.252,769
0.253,768
0.254,815
0.255,779
0.256,734
0.257,730
0.258,810
0.259,784
0.26,747
0.261,779
0.262,746
0.263,780
0.264,740
0.265,756
0.266,779
0.267,713
0.268,753
0.269,758
0.27,786
0.271,758
0.272,766
0.273,789
0.274,757
0.275,784
0.276,782
0.277,776
0.278,763
0.279,750
0.28,774
0.281,780
0.282,768
0.283,744
0.284,728
0.285,749
0.286,730
0.287,751
0.288,770
0.289,770
0.29,762
0.291,746
0.292,796
0.293,734
0.294,748
0.295,800
0.296,765
0.297,841
0.298,762
0.299,780
0.3,761
0.301,728
0.302,773
0.303,726
0.304,791
0.305,816
0.306,741
0.307,733
0.308,738
0.309,695
0.31,792
0.311,784
0.312,693
0.313,824
0.314,753
0.315,745
0.316,761
0.317,755
0.318,754
0.319,724
0.32,771
0.321,745
0.322,780
0.323,736
0.324,762
0.325,783
0.326,787
0.327,745
0.328,756
0.329,757
0.33,738
0.331,740
0.332,741
0.333,753
0.334,769
0.335,733
0.336,773
0.337,705
0.338,749
0.339,729
0.34,782
0.341,703
0.342,751
0.343,792
0.344,762
0.345,805
0.346,767
0.347,777
0.348,783
0.349,727
0.35,731
0.351,726
0.352,743
0.353,693
0.354,748
0.355,744
0.356,710
0.357,794
0.358,766
0.359,736
0.36,735
0.361,769
0.362,721
0.363,707
0.364,727
0.365,823
0.366,772
0.367,758
0.368,812
0.369,759
0.37,696
0.371,722
0.372,740
0.373,789
0.374,751
0.375,757
0.376,729
0.377,756
0.378,771
0.379,748
0.38,762
0.381,730
0.382,695
0.383,742
0.384,714
0.385,770
0.386,761
0.387,737
0.388,772
0.389,706
0.39,771
0.391,757
0.392,728
0.393,716
0.394,746
0.395,737
0.396,744
0.397,769
0.398,772
0.399,785
0.4,762
0.401,728
0.402,750
0.403,781
0.404,755
0.405,745
0.406,781
0.407,780
0.408,750
0.409,727
0.41,728
0.411,751
0.412,752
0.413,751
0.414,729
0.415,724
0.416,693
0.417,758
0.418,757
0.419,736
0.42,755
0.421,777
0.422,763
0.423,749
0.424,788
0.425,721
0.426,763
0.427,731
0.428,720
0.429,775
0.43,763
0.431,717
0.432,755
0.433,725
0.434,776
0.435,769
0.436,717
0.437,759
0.438,755
0.439,741
0.44,768
0.441,726
0.442,693
0.443,746
0.444,788
0.445,728
0.446,800
0.447,752
0.448,714
0.449,812
0.45,682
0.451,758
0.452,774
0.453,684
0.454,724
0.455,832
0.456,787
0.457,782
0.458,767
0.459,740
0.46,703
0.461,740
0.462,814
0.463,714
0.464,727
0.465,705
0.466,707
0.467,734
0.468,725
0.469,714
0.47,765
0.471,754
0.472,778
0.473,748
0.474,793
0.475,769
0.476,739
0.477,748
0.478,803
0.479,739
0.48,745
0.481,754
0.482,709
0.483,732
0.484,747
0.485,720
0.486,771
0.487,692
0.488,727
0.489,736
0.49,723
0.491,748
0.492,748
0.493,752
0.494,804
0.495,749
0.496,741
0.497,767
0.498,734
0.499,741
0.5,717
0.501,774
0.502,755
0.503,765
0.504,744
0.505,749
0.506,799
0.507,729
0.508,748
0.509,771
0.51,775
0.511,799
0.512,776
0.513,718
0.514,759
0.515,791
0.516,715
0.517,729
0.518,780
0.519,684
0.52,735
0.521,757
0.522,753
0.523,781
0.524,692
0.525,804
0.526,732
0.527,765
0.528,750
0.529,742
0.53,768
0.531,719
0.532,756
0.533,697
0.534,727
0.535,735
0.536,757
0.537,750
0.538,744
0.539,778
0.54,747
0.541,738
0.542,777
0.543,736
0.544,764
0.545,744
0.546,724
0.547,747
0.548,791
0.549,752
0.55,694
0.551,750
0.552,735
0.553,777
0.554,763
0.555,752
0.556,758
0.557,800
0.558,748
0.559,786
0.56,712
0.561,763
0.562,754
0.563,775
0.564,761
0.565,769
0.566,725
0.567,774
0.568,726
0.569,800
0.57,749
0.571,692
0.572,772
0.573,710
0.574,723
0.575,769
0.576,780
0.577,737
0.578,800
0.579,746
0.58,735
0.581,745
0.582,726
0.583,819
0.584,729
0.585,700
0.586,755
0.587,782
0.588,757
0.589,676
0.59,693
0.591,725
0.592,711
0.593,731
0.594,707
0.595,698
0.596,747
0.597,758
0.598,772
0.599,693
0.6,700
0.601,760
0.602,752
0.603,750
0.604,738
0.605,766
0.606,736
0.607,731
0.608,710
0.609,794
0.61,697
0.611,718
0.612,718
0.613,758
0.614,774
0.615,734
0.616,736
0.617,760
0.618,763
0.619,771
0.62,808
0.621,730
0.622,759
0.623,746
0.624,770
0.625,740
0.626,786
0.627,759
0.628,680
0.629,818
0.63,793
0.631,766
0.632,726
0.633,804
0.634,808
0.635,806
0.636,769
0.637,774
0.638,701
0.639,746
0.64,786
0.641,746
0.642,768
0.643,762
0.644,717
0.645,716
0.646,752
0.647,730
0.648,728
0.649,756
0.65,783
0.651,786
0.652,728
0.653,772
0.654,787
0.655,727
0.656,782
0.657,755
0.658,823
