Bin,Count
-1,866
-0.99,890
-0.98,947
-0.97,925
-0.96,932
-0.95,900
-0.94,944
-0.93,950
-0.92,987
-0.91,944
-0.9,948
-0.89,946
-0.88,956
-0.87,926
-0.86,945
-0.85,935
-0.84,950
-0.83,918
-0.82,953
-0.81,977
-0.8,932
-0.79,963
-0.78,959
-0.77,917
-0.76,935
-0.75,913
-0.74,912
-0.73,984
-0.72,916
-0.71,907
-0.7,984
-0.69,940
-0.68,911
-0.67,906
-0.66,972
-0.65,944
-0.64,918
-0.63,940
-0.62,911
-0.61,918
-0.6,936
-0.59,895
-0.58,919
-0.57,862
-0.56,930
-0.55,893
-0.54,979
-0.53,902
-0.52,935
-0.51,927
-0.5,953
-0.49,885
-0.48,907
-0.47,905
-0.46,880
-0.45,960
-0.44,963
-0.43,907
-0.42,915
-0.41,897
-0.4,878
-0.39,953
-0.38,893
-0.37,920
-0.36,954
-0.35,903
-0.34,895
-0.33,928
-0.32,923
-0.31,897
-0.3,967
-0.29,872
-0.28,941
-0.27,878
-0.26,902
-0.25,870
-0.24,891
-0.23,966
-0.22,943
-0.21,929
-0.2,860
-0.19,913
-0.18,910
-0.17,928
-0.16,911
-0.15,909
-0.14,941
-0.13,963
-0.12,964
-0.11,931
-0.1,882
-0.09,952
-0.08,927
-0.07,935
-0.06,920
-0.05,959
-0.04,933
-0.03,903
-0.02,956
-0.01,917
0,978
0.01,916
0.02,992
0.03,953
0.04,934
0.05,923
0.06,947
0.07,979
0.08,877
0.09,971
0.1,936
0.11,969
0.12,923
0.13,942
0.14,956
0.15,968
0.16,903
0.17,910
0.18,923
0.19,946
0.2,938
0.21,913
0.22,951
0.23,907
0.24,931
0.25,911
0.26,906
0.27,936
0.28,915
0.29,924
0.3,943
0.31,942
0.32,938
0.33,959
0.34,974
0.35,912
0.36,942
0.37,889
0.38,965
0.39,949
0.4,895
0.41,910
0.42,993
0.43,982
0.44,942
0.45,962
0.46,1007
0.47,1067
0.48,991
0.49,972
0.5,990
0.51,961
0.52,1040
0.53,1034
0.54,1034
0.55,1096
0.56,1060
0.57,1077
0.58,1014
0.59,1090
0.6,1127
0.61,1052
0.62,1045
0.63,1037
0.64,1096
0.65,1092
0.66,1035
0.67,1046
0.68,1096
0.69,1115
0.7,1170
0.71,1131
0.72,1144
0.73,1080
0.74,1180
0.75,1177
0.76,1219
0.77,1169
0.78,1192
0.79,1246
0.8,1218
0.81,1284
0.82,1289
0.83,1365
0.84,1324
0.85,1313
0.86,1360
0.87,1394
0.88,1387
0.89,1367
0.9,1418
0.91,1409
0.92,1379
0.93,1440
0.94,1497
0.95,1456
0.96,1545
0.97,1545
0.98,1603
0.99,1566
1,1634
1.01,1606
1.02,1657
1.03,1673
1.04,1726
1.05,1794
1.06,1805
