NeuronID,Treatment,PeakLatency
SPC10_1_[6 22 27]-2_tactile1,SPC,8
SPC10_1_[6 22 27]-3_tactile1,SPC,7
SPC10_1_[6 22 27]-4_tactile1,SPC,12
SPC10_1_[6 22 27]-6_tactile1,SPC,9
SPC10_1_[6 22 27]-7_tactile1,SPC,6
SPC11_1_[11 22 27]-2_tactile1,SPC,7
SPC11_1_[11 22 27]-4_tactile1,SPC,4
SPC11_1_[7 13 18]-2_tactile2,SPC,5
SPC11_1_[7 13 18]-3_tactile2,SPC,4
SPC11_1_[7 13 18]-4_tactile2,SPC,4
SPC11_1_[7 13 18]-7_tactile2,SPC,6
SPC11_1_[7 13 18]-8_tactile2,SPC,6
SPC11_1_[7 13 18]-9_tactile2,SPC,6
SPC13_1_[4 15 20]-2_tactile1,SPC,5
SPC13_1_[4 15 20]-3_tactile1,SPC,31
SPC13_1_[4 15 20]-4_tactile1,SPC,5
SPC13_1_[4 15 20]-5_tactile1,SPC,4
SPC13_1_[4 15 20]-7_tactile1,SPC,12
SPC14_1_[5 10 14]-2_tactile1,SPC,16
SPC14_1_[5 10 14]-3_tactile1,SPC,11
SPC14_1_[5 10 14]-4_tactile1,SPC,17
SPC14_1_[5 10 14]-5_tactile1,SPC,5
SPC14_1_[5 10 14]-2_tactile1,SPC,11
SPC14_1_[5 10 14]-3_tactile1,SPC,7
SPC14_1_[5 10 14]-4_tactile1,SPC,4
SPC14_1_[5 10 14]-5_tactile1,SPC,5
SPC14_3_[11 22 27]-2_tactile1,SPC,8
SPC14_3_[11 22 27]-3_tactile1,SPC,8
SPC14_3_[11 22 27]-4_tactile1,SPC,16
SPC14_3_[11 22 27]-2_tactile1,SPC,8
SPC14_3_[11 22 27]-3_tactile1,SPC,8
SPC14_3_[11 22 27]-4_tactile1,SPC,17
SPC15_2_[1 6 17]-12_tactile1,SPC,11
SPC15_2_[1 6 17]-16_tactile1,SPC,10
SPC17_1_[14 19 29]-2_tactile1,SPC,15
SPC17_1_[14 19 29]-3_tactile1,SPC,14
SPC17_1_[14 19 29]-4_tactile1,SPC,30
SPC17_1_[14 19 29]-6_tactile1,SPC,4
SPC17_1_[14 19 29]-2_tactile1,SPC,0
SPC17_1_[14 19 29]-3_tactile1,SPC,0
SPC17_1_[14 19 29]-4_tactile1,SPC,15
SPC17_1_[14 19 29]-6_tactile1,SPC,14
SPC18_1_[2 12 23]-2_tactile1,SPC,19
SPC18_1_[2 12 23]-2_tactile1,SPC,33
SPC20_1_[16 26 32]-2_tactile1,SPC,9
SPC20_1_[16 26 32]-3_tactile1,SPC,14
SPC20_1_[16 26 32]-4_tactile1,SPC,14
SPC20_1_[16 26 32]-5_tactile1,SPC,5
SPC20_1_[16 26 32]-6_tactile1,SPC,13
SPC20_1_[16 26 32]-7_tactile1,SPC,6
SPC20_1_[16 26 32]-8_tactile1,SPC,14
SPC20_1_[16 26 32]-9_tactile1,SPC,5
SPC20_1_[16 26 32]-10_tactile1,SPC,16
SPC20_1_[16 26 32]-11_tactile1,SPC,17
SPC20_1_[16 26 32]-12_tactile1,SPC,5
SPC20_1_[16 26 32]-13_tactile1,SPC,5
SPC20_2_[1 12 17]-2_tactile1,SPC,13
SPC20_2_[1 12 17]-3_tactile1,SPC,13
SPC20_2_[10 20 30]-2_tactile2,SPC,6
SPC20_2_[10 20 30]-3_tactile2,SPC,12
SPC20_2_[10 20 30]-4_tactile2,SPC,7
SPC20_2_[10 20 30]-5_tactile2,SPC,7
SPC20_2_[10 20 30]-6_tactile2,SPC,3
SPC21_2_[19 28 29]-2_tactile1,SPC,0
SPC21_2_[19 28 29]-4_tactile1,SPC,0
SPC21_2_[19 28 29]-6_tactile1,SPC,14
SPC21_2_[19 28 29]-7_tactile1,SPC,0
SPC21_2_[19 28 29]-8_tactile1,SPC,0
SPC21_2_[19 28 29]-10_tactile1,SPC,0
SPC21_2_[19 28 29]-11_tactile1,SPC,0
SPC21_2_[19 28 29]-12_tactile1,SPC,0
SPC21_2_[19 28 29]-14_tactile1,SPC,0
SPC21_2_[19 28 29]-2_tactile1,SPC,10
SPC21_2_[19 28 29]-4_tactile1,SPC,6
SPC21_2_[19 28 29]-6_tactile1,SPC,13
SPC21_2_[19 28 29]-7_tactile1,SPC,18
SPC21_2_[19 28 29]-8_tactile1,SPC,6
SPC21_2_[19 28 29]-10_tactile1,SPC,6
SPC21_2_[19 28 29]-11_tactile1,SPC,5
SPC21_2_[19 28 29]-12_tactile1,SPC,14
SPC21_2_[19 28 29]-14_tactile1,SPC,17
SPC37_1_[9 24 25]-2_tactile1,SPC,7
SPC37_1_[9 24 25]-3_tactile1,SPC,25
SPC37_1_[9 24 25]-4_tactile1,SPC,29
SPC37_1_[9 24 25]-5_tactile1,SPC,5
SPC37_1_[9 24 25]-6_tactile1,SPC,3
SPC37_1_[9 24 25]-2_tactile1,SPC,6
SPC37_1_[9 24 25]-3_tactile1,SPC,3
SPC37_1_[9 24 25]-4_tactile1,SPC,4
SPC37_1_[9 24 25]-5_tactile1,SPC,2
SPC37_1_[9 24 25]-6_tactile1,SPC,5
SPC37_2_[11 22 27]-2_tactile1,SPC,21
SPC37_2_[11 22 27]-5_tactile1,SPC,23
SPC37_2_[11 22 27]-7_tactile1,SPC,20
SPC37_2_[11 22 27]-8_tactile1,SPC,20
SPC37_2_[11 22 27]-9_tactile1,SPC,22
SPC37_2_[11 22 27]-10_tactile1,SPC,10
SPC37_2_[11 22 27]-12_tactile1,SPC,17
SPC37_2_[11 22 27]-2_tactile1,SPC,22
SPC37_2_[11 22 27]-7_tactile1,SPC,20
SPC37_2_[11 22 27]-10_tactile1,SPC,9
SPC39_1_[8 24 25]-3_tactile1,SPC,11
SPC39_1_[8 24 25]-4_tactile1,SPC,7
SPC39_1_[8 24 25]-6_tactile1,SPC,9
SPC39_1_[8 24 25]-8_tactile1,SPC,12
SPC39_1_[8 24 25]-9_tactile1,SPC,10
SPC39_1_[8 24 25]-10_tactile1,SPC,9
SPC39_1_[8 24 25]-11_tactile1,SPC,10
SPC39_1_[8 24 25]-12_tactile1,SPC,11
SPC39_1_[8 24 25]-3_tactile1,SPC,17
SPC39_1_[8 24 25]-4_tactile1,SPC,12
SPC39_1_[8 24 25]-6_tactile1,SPC,11
SPC39_1_[8 24 25]-8_tactile1,SPC,11
SPC39_1_[8 24 25]-10_tactile1,SPC,11
SPC39_1_[8 24 25]-11_tactile1,SPC,10
SPC39_1_[8 24 25]-12_tactile1,SPC,9
SPC39_1_[8 24 25]-3_tactile1,SPC,18
SPC39_1_[8 24 25]-4_tactile1,SPC,13
